date,precipitation_mm,temp_max,temp_min,temp_mean,humidity_mean,is_rainy
2016-04-16,0.0,32.5,21.0,26.504166666666666,73.08333333333333,0
2016-04-17,0.0,30.5,22.7,26.329166666666666,81.5,0
2016-04-18,7.2,30.5,23.8,26.837500000000002,80.08333333333333,1
2016-04-19,2.0,29.7,23.8,26.22083333333333,80.79166666666667,1
2016-04-20,0.0,31.2,23.5,26.8125,76.58333333333333,0
2016-04-21,2.0,31.4,24.1,26.97083333333333,78.16666666666667,1
2016-04-22,0.0,32.1,21.5,26.433333333333334,74.5,0
2016-04-23,0.0,31.9,22.4,26.8,68.83333333333333,0
2016-04-24,0.0,32.2,20.3,25.691666666666666,73.5,0
2016-04-25,0.0,32.8,22.5,26.595833333333335,68.625,0
2016-04-26,0.0,34.4,24.8,27.741666666666664,64.33333333333333,0
2016-04-27,0.0,34.5,22.6,27.733333333333334,61.541666666666664,0
2016-04-28,0.0,27.7,23.6,25.170833333333334,68.04166666666667,0
2016-04-29,0.2,23.9,21.7,22.650000000000002,73.20833333333333,1
2016-04-30,0.0,27.0,20.5,23.72083333333333,76.33333333333333,0
2016-05-01,3.8000000000000003,25.1,20.1,22.691666666666666,68.66666666666667,1
2016-05-02,0.0,28.6,18.7,23.1375,53.083333333333336,0
2016-05-03,0.0,27.1,17.4,21.941666666666666,77.875,0
2016-05-04,0.0,31.0,19.3,24.375,74.45833333333333,0
2016-05-05,0.0,28.9,20.0,24.075,73.54166666666667,0
2016-05-06,0.0,28.2,20.0,23.900000000000002,74.95833333333333,0
2016-05-07,0.0,32.0,20.7,25.254166666666666,75.79166666666667,0
2016-05-08,0.0,32.4,21.5,25.787499999999998,73.41666666666667,0
2016-05-09,0.0,32.0,21.0,25.554166666666664,72.66666666666667,0
2016-05-10,0.0,33.8,20.6,26.083333333333332,68.45833333333333,0
2016-05-11,0.0,30.1,21.9,25.8875,68.70833333333333,0
2016-05-12,14.0,29.1,21.9,25.116666666666664,76.29166666666667,1
2016-05-13,0.0,28.4,21.9,23.962500000000002,71.45833333333333,0
2016-05-14,0.0,26.4,21.5,23.395833333333332,63.25,0
2016-05-15,0.0,26.4,19.8,22.954166666666666,69.29166666666667,0
2016-05-16,0.0,33.4,19.0,24.804166666666664,70.75,0
2016-05-17,0.0,29.3,21.1,24.933333333333334,78.08333333333333,0
2016-05-18,0.0,28.5,21.6,24.679166666666664,81.95833333333333,0
2016-05-19,0.0,26.6,22.0,24.075,78.95833333333333,0
2016-05-20,4.0,27.9,22.6,24.566666666666666,79.20833333333333,1
2016-05-21,1.8,28.1,22.4,24.650000000000002,85.95833333333333,1
2016-05-22,0.0,31.8,21.5,25.516666666666666,77.08333333333333,0
2016-05-23,0.2,34.0,22.5,26.287499999999998,70.875,1
2016-05-24,0.0,26.9,21.0,22.795833333333334,61.375,0
2016-05-25,0.0,26.4,21.2,23.03333333333333,64.20833333333333,0
2016-05-26,0.0,26.4,17.4,22.204166666666666,68.75,0
2016-05-27,0.0,26.4,16.0,20.904166666666665,76.08333333333333,0
2016-05-28,0.2,26.8,16.4,21.325,79.125,1
